fase,config_key,L,H,W,modelo,horizonte,RMSE,MAE,MAPE,cutoff_date
Fase2,L12_H12_W48,12,12,48,Informer,6.0,2660.008408850541,2660.008408850541,33.817583268342865,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,7.0,820.2958114569883,820.2958114569883,12.889661980346453,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,8.0,444.1909165138886,444.1909165138886,7.367021308087764,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,9.0,1527.0483488709942,1527.0483488709942,24.317325145887935,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,10.0,2703.321751046976,2703.321751046976,42.62558634093892,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,11.0,882.683339096563,882.683339096563,19.93924899942904,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,12.0,1322.2403998833533,1322.2403998833533,27.22773339084437,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,1.0,248.5599864970527,248.5599864970527,7.5107719048103565,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,2.0,562.1641772038533,562.1641772038533,13.332739817236018,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,3.0,1350.1075421453597,1350.1075421453597,22.983210632180924,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,4.0,2330.9277611789084,2330.9277611789084,34.349109171106264,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,5.0,3858.8710327452145,3858.8710327452145,47.18338725801702,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,6.0,3279.674282062473,3279.674282062473,41.69560432879146,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,7.0,1820.5288013474446,1820.5288013474446,28.60675447455248,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,8.0,1584.233205886716,1584.233205886716,26.274917723092845,2019-03-01 00:00:00
